scientific_name,summary,primary_label,common_name,local_image_path,order,family,genus,conservation_status
Elminia longicauda,The African blue flycatcher or blue-crested flycatcher is a species of bird in the family Stenostiridae from western and central Sub-Saharan Africa.,afbfly1,African Blue Flycatcher,bird_images\afbfly1.jpg,Passeriformes,Stenostiridae,Elminia,Least Concern
Turdus tephronotus,"The bare-eyed thrush is a species of bird in the family Turdidae. It is found in Ethiopia, Kenya, Somalia, and Tanzania.",abethr1,African Bare-eyed Thrush,bird_images\abethr1.jpg,Passeriformes,Turdidae,Turdus,Least Concern
Turdus abyssinicus,"The Abyssinian thrush is a passerine bird in the family Turdidae. It is also known as the African mountain thrush, or northern olive thrush The species was formerly treated as conspecific with the olive thrush but the species were split based on the genetic differences. The ranges do not overlap. The Abyssinian thrush is native to the eastern Afromontane.",abythr1,Abyssinian Thrush,bird_images\abythr1.jpg,Passeriformes,Turdidae,Turdus,Least Concern
Oriolus larvatus,"The black-headed oriole is a species of bird in the family Oriolidae. It is found in Africa and has a very striking appearance with a bright yellow body, contrasting black head and flesh-coloured beak.",abhori1,African Black-headed Oriole,bird_images\abhori1.jpg,Passeriformes,Oriolidae,Oriolus,Least Concern
Muscicapa adusta,"The African dusky flycatcher, also known as the dusky-brown flycatcher or dusky alseonax, is a small passerine bird of the Old World flycatcher family, Muscicapidae. It is a resident breeder in elevated areas of Sub-Saharan Africa. It is very common in its woodland habitat, which includes riverine forests, evergreen forest edges and clearings, especially near water bodies such as lakes, dams and streams, and well-wooded suburban gardens.",afdfly1,African Dusky Flycatcher,bird_images\afdfly1.jpg,Passeriformes,Muscicapidae,Muscicapa,Least Concern
Chrysococcyx cupreus,The African emerald cuckoo is a species of cuckoo that is native to Africa.,afecuc1,African Emerald Cuckoo,bird_images\afecuc1.jpg,Cuculiformes,Cuculidae,Chrysococcyx,Least Concern
Haliaeetus vocifer,"The African fish eagle or the African sea eagle is a large species of eagle found throughout sub-Saharan Africa wherever large bodies of open water with an abundant food supply occur. It is the national bird of Malawi, Namibia, Zambia, and Zimbabwe. As a result of its large range, it is known in many languages. Examples of names include: visarend in Afrikaans, nkwazi in Chewa, aigle pêcheur in French, idì in Yoruba, hungwe in Shona, inkwazi in isiZulu, and ntšhu in Northern Sotho. Though this species may superficially resemble the bald eagle in appearance they are not closely related and the two species occur on different continents, with the bald eagle being endemic to North America.",affeag1,African Fish-Eagle,bird_images\affeag1.jpg,Accipitriformes,Accipitridae,Icthyophaga,Least Concern
Bradornis microrhynchus,"The African grey flycatcher, grayish flycatcher, or large flycatcher is a passerine bird in the Old World flycatcher family Muscicapidae that occurs in parts of East Africa.",afgfly1,African Gray Flycatcher,bird_images\afgfly1.jpg,Passeriformes,Muscicapidae,Bradornis,Least Concern
Streptopelia decipiens,"The mourning collared dove or African mourning dove is a dove which is a widespread resident breeding bird in Africa south of the Sahara. Despite its name, it is not closely related to the North American mourning dove. This species is common or abundant near water. They often mingle peacefully with other doves.",afmdov1,Mourning Collared-Dove,bird_images\afmdov1.jpg,Columbiformes,Columbidae,Streptopelia,Least Concern
Lophoceros nasutus,"The African grey hornbill is a member of the hornbill family of mainly tropical near-passerine birds found in the Old World. It is a widespread resident breeder in much of sub-Saharan Africa and the southwest of the Arabian Peninsula. The African grey hornbill has escaped or been deliberately released into Florida, USA, but there is no evidence that the population is breeding and may only persist due to continuing releases or escapes.",afghor1,African Gray Hornbill,bird_images\afghor1.jpg,Bucerotiformes,Bucerotidae,Lophoceros,Least Concern
Terpsiphone viridis,"The African paradise flycatcher is a medium-sized passerine bird. The two central tail feathers of the male are extended into streamers that commonly are more than twice as long as the body. The female tail feathers are of moderate length and without streamers. The upper parts of the male body, wings, and tail are boldly coloured in chestnut or rusty shades, but the underparts and the head are variably grey to blue-gray, with the head of the mature male being darker, commonly glossy black with greenish highlights. The beak and other bare areas, including a wattle ring round the eye, match the colour of the surrounding feathers. The female coloration is similar, though not so showy and glossy and with the head paler.",afpfly1,African Paradise-Flycatcher,bird_images\afpfly1.jpg,Passeriformes,Monarchidae,Terpsiphone,Least Concern
Accipiter tachiro,The African goshawk is an African species of bird of prey in the genus Aerospiza. It was formerly placed in the genus Accipiter. The African goshawk was previously sometimes split with the red-chested goshawk of west Africa treated as a separate species.,afrgos1,African Goshawk,bird_images\afrgos1.jpg,Accipitriformes,Accipitridae,Aerospiza,Least Concern
Motacilla aguimp,"The African pied wagtail, or African wagtail, is a species of bird in the family Motacillidae.",afpwag1,African Pied Wagtail,bird_images\afpwag1.jpg,Passeriformes,Motacillidae,Motacilla,Least Concern
Treron calvus,"The African green pigeon is a species of bird in the family Columbidae, and one of 5 green pigeon species in the Afrotropics. The species has a wide range in Sub-Saharan Africa with around 17 accepted races.",afrgrp1,African Green-Pigeon,bird_images\afrgrp1.jpg,Columbiformes,Columbidae,Treron,Least Concern
Actophilornis africanus,"The African jacana is a wader in the family Jacanidae. It has long toes and long claws that enable it to walk on floating vegetation in shallow lakes, its preferred habitat. It is widely distributed in sub-Saharan Africa. For the origin and pronunciation of the name, see Jacanidae.",afrjac1,African Jacana,bird_images\afrjac1.jpg,Charadriiformes,Jacanidae,Actophilornis,Least Concern
Turdus pelios,"The African thrush or West African thrush is a passerine bird in the thrush family Turdidae. It is common in well-wooded areas over much of the western part of sub-Saharan Africa, it was once considered to be conspecific with the olive thrush but that species has now been split further. Populations are resident (non-migratory).",afrthr1,African Thrush,bird_images\afrthr1.jpg,Passeriformes,Turdidae,Turdus,Least Concern
Chalcomitra amethystina,"The amethyst sunbird, also called the black sunbird, is a species of passerine bird in the family Nectariniidae. It is native to the Afrotropics, mostly south of the equator. They are commonly found in well-watered habitats, and undertake seasonal movements to visit flowering woodlands. The demise of some woodlands have impacted their numbers locally, but their range has also expanded along with the spread of wooded gardens.",amesun2,Amethyst Sunbird,bird_images\amesun2.jpg,Passeriformes,Nectariniidae,Chalcomitra,Least Concern
Hirundo rustica,"The barn swallow is the most widespread species of swallow in the world, occurring on all continents, with vagrants reported even in Antarctica. It is a distinctive passerine bird with blue upperparts and a long, deeply forked tail. In Anglophone Europe, it is just called the swallow; in northern Europe, it is the only member of family Hirundinidae called a ""swallow"" rather than a ""martin"".",barswa,Barn Swallow,bird_images\barswa.jpg,Passeriformes,Hirundinidae,Hirundo,Least Concern
Ploceus baglafecht,The baglafecht weaver is a species of weaver bird from the family Ploceidae which is found in eastern and central Africa. There are several disjunct populations with distinguishable plumage patterns. Only some races display a discrete non-breeding plumage.,bagwea1,Baglafecht Weaver,bird_images\bagwea1.jpg,Passeriformes,Ploceidae,Ploceus,Least Concern
Bycanistes subcylindricus,"The black-and-white-casqued hornbill, also known as the grey-cheeked hornbill, is a large black and white hornbill. It has an oversized blackish bill with a large casque on top. The female is slightly smaller than the male and has a significantly smaller casque.
It is a monogamous species, and pairs nest in suitable tree cavities. The female usually lays up to two eggs. The diet consists mainly of figs, fruits, insects and small animals found in the trees.",bawhor2,Black-and-white-casqued Hornbill,bird_images\bawhor2.jpg,Bucerotiformes,Bucerotidae,Bycanistes,Least Concern
Merops persicus,"The blue-cheeked bee-eater is a species of bee-eater that breeds in Northern Africa and the Middle East from eastern Turkey to Kazakhstan and India. It is generally strongly migratory, wintering in tropical Africa, although some populations are resident year-round in the Sahel. This species occurs as a rare vagrant north of its breeding range, with most vagrants occurring in Italy and Greece.",bcbeat1,Blue-cheeked Bee-eater,bird_images\bcbeat1.jpg,Coraciiformes,Meropidae,Merops,Least Concern
Spermestes bicolor,"The black-and-white mannikin also black-and-white munia or red-backed mannikin, is a species of estrildid finch, widely present throughout sub-Saharan Africa. It has an estimated global extent of occurrence of 4,200,000 km2 (1,600,000 sq mi).
It is found in moist savanna and subtropical or tropical moist lowland forest habitat. The status of the species is evaluated as least concern. They are seedeaters, but are known to feed on algae.",bawman1,Black-and-white Mannikin,bird_images\bawman1.jpg,Passeriformes,Estrildidae,Spermestes,Least Concern
Tchagra senegalus,"The black-crowned tchagra is a bushshrike. This family of passerine birds is closely related to the true shrikes in the family Laniidae, and was once included in that group.",bkctch1,Black-crowned Tchagra,bird_images\bkctch1.jpg,Passeriformes,Malaconotidae,Tchagra,Least Concern
Bathmocercus rufus,"The black-faced rufous warbler is a species of bird in the family Cisticolidae.
It is found in Cameroon, Central African Republic, Republic of the Congo, Democratic Republic of the Congo, Equatorial Guinea, Gabon, Kenya, Rwanda, South Sudan, Tanzania, and Uganda.
Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.",bkfruw1,Black-faced Rufous-Warbler,bird_images\bkfruw1.jpg,Passeriformes,Cisticolidae,Bathmocercus,Least Concern
Cinnyris pulchellus,"The beautiful sunbird, formerly placed in the genus Nectarinia, is a small passerine bird in the sunbird family Nectariniidae. It is native to tropical Africa, its range extending from Senegal and Guinea in the west to Sudan, South Sudan, Ethiopia, Tanzania and Kenya in the east. It was formerly considered to be conspecific with the gorgeous sunbird.",beasun2,Beautiful Sunbird,bird_images\beasun2.jpg,Passeriformes,Nectariniidae,Cinnyris,Least Concern
Cuculus clamosus,The black cuckoo is a species of cuckoo in the family Cuculidae. The species is distributed widely across sub-Saharan Africa. There are two subspecies. This cuckoo has a very wide range and is quite common so it is classified as a least-concern species by the International Union for Conservation of Nature.,blacuc1,Black Cuckoo,bird_images\blacuc1.jpg,Cuculiformes,Cuculidae,Cuculus,Least Concern
Zapornia flavirostra,"The black crake is a waterbird in the rail and crake family, Rallidae. It breeds in most of sub-Saharan Africa except in very arid areas. It undertakes some seasonal movements in those parts of its range which are subject to drought. No subspecies have been described. It appears that the oldest available name for this species is actually Rallus niger J. F. Gmelin, 1788, but Swainson believed that the earlier name was unidentifiable, and his own has since become well embedded in the literature.",blacra1,Black Crake,bird_images\blacra1.jpg,Gruiformes,Rallidae,Zapornia,Least Concern
Milvus migrans,"The black kite or fire kite is a medium-sized bird of prey in the family Accipitridae, which also includes many other diurnal raptors. It is thought to be the world's most abundant species of Accipitridae, although some populations have experienced dramatic declines or fluctuations. Current global population estimates run up to 6.7 million individuals.",blakit1,Black Kite,bird_images\blakit1.jpg,Accipitriformes,Accipitridae,Milvus,Least Concern
Vanellus armatus,"The blacksmith lapwing or blacksmith plover is a lapwing species that occurs commonly from Kenya through central Tanzania to southern and southwestern Africa. The vernacular name derives from the repeated metallic 'tink, tink, tink' alarm call, which suggests a blacksmith's hammer striking an anvil.",blaplo1,Blacksmith Lapwing,bird_images\blaplo1.jpg,Charadriiformes,Charadriidae,Vanellus,Least Concern
Dryoscopus cubla,"The black-backed puffback is a species of passerine bird in the family Malaconotidae. They are common to fairly common sedentary bushshrikes in various wooded habitats in Africa south of the equator. They restlessly move about singly, in pairs or family groups, and generally frequent tree canopies. Like others of its genus, the males puff out the loose rump and lower back feathers in display, to assume a remarkable ball-like appearance. They draw attention to themselves by their varied repertoire of whistling, clicking and rasping sounds. Their specific name cubla, originated with Francois Levaillant, who derived it from a native southern African name, where the ""c"" is an onomatopoeic click sound. None of the other five puffback species occur in southern Africa.",blbpuf2,Black-backed Puffback,bird_images\blbpuf2.jpg,Passeriformes,Malaconotidae,Dryoscopus,Least Concern
Oreolais pulcher,"The black-collared apalis is a species of bird in the family Cisticolidae. It is found in the Cameroonian Highlands forests, western Kenya and the Albertine rift montane forests.",blcapa2,Black-collared Apalis,bird_images\blcapa2.jpeg,Passeriformes,Cisticolidae,Oreolais,Least Concern
Ardea melanocephala,"The black-headed heron is a wading bird of the heron family Ardeidae, common throughout much of sub-Saharan Africa and Madagascar. It is mainly resident, but some west African birds move further north in the rainy season.",blhher1,Black-headed Heron,bird_images\blhher1.jpg,Pelecaniformes,Ardeidae,Ardea,Least Concern
Psalidoprocne pristoptera,"The black saw-wing, also known as the blue saw-wing or black rough-winged swallow, is a small passerine bird in the swallow family.",blksaw1,Black Sawwing,bird_images\blksaw1.jpg,Passeriformes,Hirundinidae,Psalidoprocne,Least Concern
Telophorus nigrifrons,"The black-fronted bushshrike is a passerine bird of the bushshrike family, Malaconotidae. It inhabits forests mainly in East Africa. It forms a superspecies with the many-colored bushshrike and the two are sometimes considered to be a single species.",blfbus1,Black-fronted Bushshrike,bird_images\blfbus1.jpg,Passeriformes,Malaconotidae,Chlorophoneus,Least Concern
Urocolius macrourus,"The blue-naped mousebird, also formerly called the blue-naped coly is a species of bird belonging to the family Coliidae within the order Coliiformes. They are the sister group to the clade Eucavitaves, which contains the families Leptosomiformes, Trogoniformes (trogons), Bucerotiformes, Piciformes and Coraciformes.",blnmou1,Blue-naped Mousebird,bird_images\blnmou1.jpg,Coliiformes,Coliidae,Urocolius,Least Concern
Ploceus nigricollis,The black-necked weaver is a resident breeding bird species in much of central Africa from Cameroon in the west to Kenya and southern Somalia in the east.,blnwea1,Black-necked Weaver,bird_images\blnwea1.jpeg,Passeriformes,Ploceidae,Ploceus,Least Concern
Apalis jacksoni,"The black-throated apalis is a species of bird in the family Cisticolidae.
It is native to the Western High Plateau, the Albertine Rift montane forests and the east African montane forests and isolated lowland areas of Cameroon, the DRC and Angola.",bltapa1,Black-throated Apalis,bird_images\bltapa1.jpg,Passeriformes,Cisticolidae,Apalis,Least Concern
Tricholaema melanocephala,"The black-throated barbet is a species of bird in the Lybiidae family. It is found in Djibouti, Eritrea, Ethiopia, Kenya, Somalia, South Sudan, Tanzania, and Uganda. Its distribution has moved northward.",bltbar1,Black-throated Barbet,bird_images\bltbar1.jpg,Piciformes,Lybiidae,Tricholaema,Least Concern
Oriolus percivali,"The mountain oriole is a bird species in the family Oriolidae. It is native to the Albertine Rift montane forests, Uganda and Kenya. Its natural habitats are subtropical or tropical moist montane forests.",bltori1,Black-tailed Oriole,bird_images\bltori1.jpeg,Passeriformes,Oriolidae,Oriolus,Least Concern
Chamaetylas poliocephala,The brown-chested alethe is a species of bird in the Old World flycatcher family Muscicapidae. It has a discontinuous range of presence across the African tropical rainforest.,brcale1,Brown-chested Alethe,bird_images\brcale1.jpg,Passeriformes,Muscicapidae,Chamaetylas,Least Concern
Tchagra australis,The brown-crowned tchagra is a species of bird in the family Malaconotidae.,brctch1,Brown-crowned Tchagra,bird_images\brctch1.jpg,Passeriformes,Malaconotidae,Tchagra,Least Concern
Crithagra sulphurata,The brimstone canary or bully canary is a small passerine bird in the finch family. It is a resident breeder in central and southern Africa.,brican1,Brimstone Canary,bird_images\brican1.jpg,Passeriformes,Carduelinae,Crithagra,Least Concern
Turdoides plebejus,"The brown babbler is a species of bird in the family Leiothrichidae. It is predominantly found in West Africa, but ranging from the Gambia to Kenya. The species is common across its range. The species is also known as the Sudan babbler.",brobab1,Brown Babbler,bird_images\brobab1.jpg,Passeriformes,Leiothrichidae,Turdoides,Least Concern
Spermestes cucullata,"The bronze mannikin or bronze munia is a small passerine bird of the Afrotropics. This very social estrildid finch is an uncommon to locally abundant bird in much of Africa south of the Sahara Desert, where it is resident, nomadic or irruptive in mesic savanna or forest margin habitats. It has an estimated global extent of occurrence of 23,600,000 km2 (9,100,000 sq mi). It is the smallest and most widespread of four munia species on the African mainland, the other being black-and-white, red-backed and magpie mannikin. It co-occurs with the Madagascar mannikin on the Comoro Islands, and was introduced to Puerto Rico. Especially in the West Africa, it is considered a pest in grain and rice fields. It is locally trapped for the pet bird trade.",broman1,Bronze Mannikin,bird_images\broman1.jpg,Passeriformes,Estrildidae,Spermestes,Least Concern
Nectarinia kilimensis,The bronze sunbird is a species of bird in the family Nectariniidae. It is native to the Bié Plateau (Angola) and eastern Afromontane forests.,brosun1,Bronze Sunbird,bird_images\brosun1.jpg,Passeriformes,Nectariniidae,Nectarinia,Least Concern
Zosterops kikuyuensis,"The Kikuyu white-eye is a species of bird in the family Zosteropidae. It was formerly considered a subspecies of montane white-eye. It is found in central Kenya, in the Aberdare Mountains and on Mount Kenya. IUCN categorizes it as of least concern.",brrwhe3,Kikuyu White-eye,bird_images\brrwhe3.jpg,Passeriformes,Zosteropidae,Zosterops,Least Concern
Phylloscopus umbrovirens,The brown woodland warbler is a species of Old World warbler in the family Phylloscopidae.,brwwar1,Brown Woodland-Warbler,bird_images\brwwar1.jpg,Passeriformes,Phylloscopidae,Phylloscopus,Least Concern
Turtur afer,"The blue-spotted wood dove or blue-spotted dove is a species of bird in the family Columbidae.
It is abundantly present throughout Africa south of the Sahel; it is partially present in East Africa and absent in southern Africa.",bswdov1,Blue-spotted Wood-Dove,bird_images\bswdov1.jpg,Columbiformes,Columbidae,Turtur,Least Concern
Nilaus afer,The brubru is a species of bushshrike found in most of Sub-Saharan Africa. It is the only member of the genus Nilaus.,brubru1,Brubru,bird_images\brubru1.jpg,Passeriformes,Malaconotidae,Nilaus,Least Concern
Platysteira cyanea,"The brown-throated wattle-eye, also known as the common wattle-eye or scarlet-spectacled wattle-eye, is a small, insectivorous passerine bird. The wattle-eyes were previously classed as a subfamily of the Old World flycatcher family Muscicapidae, but are now usually separated from that group.",btweye2,Brown-throated Wattle-eye,bird_images\btweye2.jpg,Passeriformes,Platysteiridae,Platysteira,Least Concern
Phyllolais pulchella,"The buff-bellied warbler is a species of bird in the family Cisticolidae. It is monotypic within the genus Phyllolais. It is found in Cameroon, Central African Republic, Chad, Democratic Republic of the Congo, Eritrea, Ethiopia, Kenya, Nigeria, Rwanda, Sudan, Tanzania, and Uganda, where its natural habitats are subtropical or tropical dry forest, dry savanna, and subtropical or tropical dry shrubland.",bubwar2,Buff-bellied Warbler,bird_images\bubwar2.jpg,Passeriformes,Cisticolidae,Phyllolais,Least Concern
Apalis rufogularis,"The buff-throated apalis is a species of bird in the family Cisticolidae.
It is found in Angola, Benin, Burundi, Cameroon, Central African Republic, Republic of the Congo, Democratic Republic of the Congo, Equatorial Guinea, Gabon, Kenya, Nigeria, Rwanda, South Sudan, Tanzania, Uganda, and Zambia.",butapa1,Buff-throated Apalis,bird_images\butapa1.jpg,Passeriformes,Cisticolidae,Apalis,Least Concern
Cossypha caffra,The Cape robin-chat is a small passerine bird of the Old World flycatcher family Muscicapidae. It has a disjunct range from South Sudan to South Africa.,carcha1,Cape Robin-Chat,bird_images\carcha1.jpg,Passeriformes,Muscicapidae,Dessonornis,Least Concern
Bubulcus ibis,"The western cattle egret is a species of heron found in the tropics, subtropics and warm temperate zones. Formerly, most taxonomic authorities lumped this species and the eastern cattle egret together, but the two cattle egrets are now treated as separate species. Despite the similarities in plumage to the egrets of the genus Egretta, it is more closely related to the herons of Ardea. Originally native to parts of Africa, southwest Asia and southern Europe, it has undergone a rapid expansion in its distribution and successfully colonised much of the New World in the last century.",categr,Cattle Egret,bird_images\categr.jpg,Pelecaniformes,Ardeidae,Ardea,Unknown
Chloropicus fuscescens,"The cardinal woodpecker is a widespread and common resident breeder in much of sub-Saharan Africa. It occurs in a wide range of habitats, ranging from dense forest to thorn bush. It is fairly vocal and is easily identified by its call notes. The sexes are distinguishable by their head patterns.",carwoo1,Cardinal Woodpecker,bird_images\carwoo1.jpg,Piciformes,Picidae,Dendropicos,Least Concern
Ploceus rubiginosus,"The chestnut weaver is a species of bird in the family Ploceidae.
It is found in eastern and south-western Africa. They can typically be found in Kenya, Botswana, Ethiopia, Somalia, Uganda, Tanzania, Angola, and Namibia. Chestnut Weavers are considered locally abundant and of least concern. It is a nomadic as well as residential species that moves in response to rainfall and food availability.",chewea1,Chestnut Weaver,bird_images\chewea1.jpg,Passeriformes,Ploceidae,Ploceus,Least Concern
Merops oreobates,"The cinnamon-chested bee-eater is a species of bird in the family Meropidae. It is mainly native to the Albertine Rift montane forests and the East African montane forests of East Africa, in the regions surrounding Lake Victoria.",ccbeat1,Cinnamon-chested Bee-eater,bird_images\ccbeat1.jpg,Coraciiformes,Meropidae,Merops,Least Concern
Batis molitor,The chinspot batis is a small songbird of the genus Batis in the family Platysteiridae which is a common and widespread species in the woodlands of southern Africa from the Eastern Cape north to 3°N in southern Kenya and Gabon. It forms a superspecies with other rather similar members of the genus Batis.,chibat1,Chinspot Batis,bird_images\chibat1.jpg,Passeriformes,Platysteiridae,Batis,Least Concern
Apalis porphyrolaema,"The chestnut-throated apalis is a species of bird in the cisticola family Cisticolidae. The Kabobo apalis, originally described as a distinct species, is usually treated as a subspecies A. p. kaboboensis of the chestnut-throated apalis today. It is itself sometimes considered to be the same species as the Chapin's apalis.",chtapa3,Chestnut-throated Apalis,bird_images\chtapa3.jpg,Passeriformes,Cisticolidae,Apalis,Least Concern
Cisticola chubbi,"Chubb's cisticola is a species of bird in the family Cisticolidae.
It is native to the Western High Plateau, the Albertine Rift montane forests and the East African montane forests.",chucis1,Chubb's Cisticola,bird_images\chucis1.jpg,Passeriformes,Cisticolidae,Cisticola,Least Concern
Bradypterus cinnamomeus,"The cinnamon bracken warbler is a species of Old World warbler in the family Locustellidae.
It is native to mountainous regions of East Africa.
Its natural habitats are subtropical or tropical moist montane forests and subtropical or tropical moist shrubland.",cibwar1,Cinnamon Bracken-Warbler,bird_images\cibwar1.jpg,Passeriformes,Locustellidae,Bradypterus,Least Concern
